tuple_id_1, tuple_id_2
A911329,A919481
A911329,A941516
A911327,A953894
A925970,A957033
A925973,A925676
A925974,A986386
A949941,A929294
A949941,A995036
A925976,A920870
A949937,A940151
A950926,A942749
A949938,A937591
A949938,A941930
A950927,A909635
A949939,A920999
A950928,A982549
A950929,A972778
A911332,A909676
A911330,A923494
A935301,A964553
A935303,A986087
A950922,A974502
A950922,A983011
A911337,A992809
A911337,A957962
A950921,A958735
A911339,A960360
A925980,A960770
A925985,A909746
A925985,A971008
A949930,A919529
A925988,A921261
A925987,A905705
A949936,A993001
A949928,A926444
A950913,A929702
A974906,A980648
A949929,A972417
A974907,A917441
A974908,A996175
A974908,A976856
A950917,A959081
A911344,A918558
A911347,A994094
A950911,A928611
A974900,A950541
A974900,A978947
A911348,A941388
A974901,A931787
A911345,A919391
A911346,A968278
A974903,A938211
A974903,A956073
A935319,A955544
A911349,A960983
A949960,A938432
A949960,A966001
A925990,A944385
A949964,A927614
A949965,A960902
A949965,A981260
A949966,A988202
A949967,A969401
A950949,A972166
A950946,A945013
A911350,A996401
A935320,A932375
A911354,A906202
A911354,A969303
A911355,A945332
A950941,A962360
A935323,A998142
A935324,A923266
A911358,A911035
A911358,A923371
A935325,A927509
A935326,A941100
A935327,A944895
A911357,A955085
A935308,A989552
A935309,A915436
A949951,A961194
A949953,A974064
A949954,A945982
A949956,A941192
A949957,A984019
A949958,A946173
A950937,A993941
A950938,A940738
A950936,A917148
A950939,A947267
A950930,A962368
A911363,A956080
A911369,A962723
A950933,A919981
A950931,A992823
A911368,A972990
A911368,A942400
A935317,A989853
A950932,A962909
A925932,A905373
A949903,A910814
A925925,A918941
A925929,A911591
A925929,A992045
A925943,A935299
A925935,A929671
A925936,A986210
A911302,A927768
A925950,A958588
A925950,A947808
A949921,A939965
A949922,A998371
A949922,A962173
A949915,A910528
A925949,A929909
A949917,A957386
A949917,A966763
A950902,A930993
A950906,A921342
A911310,A938742
A911310,A907269
A950900,A927845
A950900,A941850
A950901,A952676
A911318,A905795
A911318,A910817
A925962,A973726
A925962,A990962
A949910,A960583
A949911,A949755
A949911,A943165
A949912,A933031
A949913,A915844
A949905,A973979
A949908,A935786
A911323,A966925
A984307,A943483
A959349,A919734
A984305,A970607
A984305,A979960
A984306,A994788
A974980,A949412
A984304,A960810
A984304,A976697
A984301,A909466
A984301,A966853
A974983,A923174
A984302,A916609
A998952,A934681
A998952,A923197
A959340,A932824
A960337,A918062
A998948,A948739
A998948,A928271
A935380,A933449
A935381,A971030
A935381,A990530
A998946,A955911
A935382,A935415
A935383,A985446
A998944,A993997
A935385,A925035
A960341,A969604
A998942,A940675
A935387,A942607
A974973,A921020
A984310,A923919
A974976,A943394
A974976,A908241
A974977,A996122
A959339,A954445
A959339,A934753
A959336,A950732
A959337,A980222
A959337,A964310
A974992,A950012
A959334,A919983
A959334,A947690
A974994,A984175
A974994,A949060
A998940,A933211
A998940,A932768
A960346,A943233
A960347,A966034
A960348,A960285
A998936,A994098
A935372,A974703
A935373,A922100
A960351,A927480
A960351,A961077
A998931,A993124
A998931,A962878
A960353,A918691
A950994,A962421
A950994,A922808
A974987,A953460
A960319,A954669
A960319,A996908
A960311,A945700
A960312,A951304
A960314,A924551
A960315,A966524
A960315,A917637
A960317,A955760
A974959,A925716
A974959,A985085
A998924,A948331
A998925,A986275
A998920,A945890
A998921,A920129
A974951,A982910
A974951,A996777
A974952,A992403
A974952,A991751
A974954,A916918
A998928,A922874
A974958,A939383
A998929,A905106
A998929,A934607
A959356,A992750
