"Id";"Name";"YearRange";"ReleaseDate";"Director";"Creator";"Cast";"Duration";"RatingValue";"ContentRating";"Genre";"Url";"Description"
"city_of_missing_girls";"City of Missing Girls";"1940 1941 1942";"Mar 27, 1941 Wide";"Elmer Clifton";"Oliver Drake,George Rosener";;"1 hr. 13 min.";;"Unrated";"Drama,Mystery & Suspense,Classics";"http://www.rottentomatoes.com/m/city_of_missing_girls/";"In this murder mystery, a female reporter investigates a dance school where young women are assigned to work in a night club. Unfortunately many of the girls are turning up dead. The reporter sharply criticizes the D.A. for his inability to solve the mysterious series of deaths. Her investigations soon reveal that the murderer is her own dad, a theatrical agent."
"gay_divorcee";"The Gay Divorcee";"1933 1934 1935";"Oct 12, 1934 Limited";"Mark Sandrich";"J. Hartley Manners,George Marion,Dorothy Yost,Edward Kaufman,Dwight Taylor";;"1 hr. 47 min.";"7.8/10";"Unrated";"Drama,Romance,Musical & Performing Arts,Classics,Comedy";"http://www.rottentomatoes.com/m/gay_divorcee/";"One of the finest Fred Astaire and Ginger Rogers musicals ever made, this film stars Rogers as a woman seeking a divorce. She travels to an English seaside resort, pursued by the love-stricken Astaire, whom she mistakes for the hired correspondent in her divorce case."
"divorcee";"The Divorcée";"1929 1930 1931";"Apr 19, 1930 Wide";"Robert Z. Leonard";"Ursula Parrott,John Meehan,John Meehan, Jr.,John Meehan,Nick Grinde";;"1 hr. 23 min.";"6.4/10";"Unrated";"Drama,Romance,Classics";"http://www.rottentomatoes.com/m/divorcee/";"Norma Shearer earned an Academy Award for playing the not so gay divorcée in this pre-Code offering based, loosely, on Ex-Wife, a 1929 Ursula Parrott novel. Shearer is Jerry, a socialite who marries handsome Ted (Chester Morris) after a whirlwind courtship. But Ted is not exactly the faithful type and after three years of what she in her naïveté considered marital bliss, Jerry learns of his affair with Janice (Mary Doran). 'It meant nothing,' Ted assures her but Jerry is devastated and decides,to investigate adultery for herself by sleeping with Ted's best friend, Don (Robert Montgomery). When she discovers that the old double-standard still applies, Jerry announces that henceforth Ted, and only Ted, is no longer welcome in her bed. After a string of lovers who mean little or nothing to her, Jerry falls for an old flame, Paul (Conrad Nagel), but when she understands the effect their affair has on Paul's poor disfigured wife, Dorothy (Helen Johnson, aka Judith Wood), Jerry returns to Ted, who still loves her despite it all. ~ Hans J. Wollstein, Rovi"
"1009470-hells_angels_on_wheels";"Hells Angels on Wheels";"1966 1967 1968";"Jan 1, 1967 Wide";"Richard Rush";"Robert Wright Campbell";"Adam Roarke,Jack Nicholson,Sabrina Scharf,Jana Taylor,John Garwood,Richard Anders,Mimi Machu,James Oliver,Jack Starrett,Gary Littlejohn,Bruno Ve Sota,Bob Kelljan,Robert Kelljan,Kathryn Harrow,Sonny Barger,John 'Bud' Cardos";"1 hr. 35 min.";"4.4/10";"R";"Classics,Action & Adventure";"http://www.rottentomatoes.com/m/1009470-hells_angels_on_wheels/";"Jack Nicholson, in one of his earliest roles, stars as Poet, a gas station attendant seeking adventure who signs on for a cross-country motorcycle trip with the Hell's Angels."
"the-miracle-woman-1932";"The Miracle Woman";"1984 1985 1986";"Jan 1, 1985 Wide";"Ketan Mehta";"Shafi Hakim,Hriday Lani";;;;"Unrated";"Drama";"http://www.rottentomatoes.com/m/the-miracle-woman-1932/";""
"trader_hornee";"Trader Hornee";"1969 1970 1971";"Dec 31, 1970 Wide";"Jonathan Lucas,Tsanusdi,Don Tsanusdi";"David F. Friedman";;"1 hr. 45 min.";"";"R";"Action & Adventure,Classics,Comedy";"http://www.rottentomatoes.com/m/trader_hornee/";"This X rated jungle adventure finds Hamilton Hornee (Buddy Pantsari) in search of the white goddess. Algona (Deek Sills) is the female leader of a native tribe sought by Hamilton to inherit money from a long lost relative. This sets the stage for erotic action between men and women, and women and women. Elizabeth Monica, Lisa Grant and Christine Murray join Sills in various stages of undress and sex acts in this cliche riddled romp in the wilds of Africa."
"miracle_woman";"The Miracle Woman";"1930 1931 1932";"Jul 20, 1931 Wide";"Frank Capra";"Jo Swerling,Dorothy Howell";"Barbara Stanwyck,David Manners,Sam Hardy,Beryl Mercer,Russell Hopton,Charles B. Middleton,Eddie Boland,Thelma Hill,Aileen Carlyle,Al Stewart,Harry Todd,Edward J. Le Saint,Ivan Linow,John Kelly,Dennis O'Keefe,Fred Warren,Robert Bolder,Mary Doran,Lorraine Hubbell,Mary Bracken";"1 hr. 29 min.";"7/10";"Unrated";"Drama,Comedy";"http://www.rottentomatoes.com/m/miracle_woman/";"Barbara Stanwyck turns out a fine performance as a charismatic, fiery female evangelist who finds herself exploited by greedy promoters who have secretly led her to believe that she has the power of healing. She is a pastor's daughter and first gets her start by strongly deriding the self-righteous, hypocritical congregation that cast her father out from their church and thereby caused him to die of shame and depression. During her impromptu sermon, sly promoter Sam Hardy overhears and sees in,her pure gold--for his pockets that is. With his help, she soon becomes one of the most popular fire-and-brimstone preachers in the country. He adds to her reputation by hiring dupes to come in for her to 'heal.' One day, a despondent blind former aviator stands on the brink of suicide when he hears her inspiring words on the radio. Believing that she will restore his sight, he goes to her during a revival. Love blossoms. Meanwhile the promoter and the press agent begin to scuffle over percentages of her earnings. A real fight ensues and the promoter kills the press agent. Realizing that the new love affair with the pilot could ruin it all, the evil promoter tries to do all he can to keep the two apart."
"1006206-dr_jekyll_and_mr_hyde";"Dr. Jekyll and Mr. Hyde";"1919 1920 1921";"Mar 18, 1920 Wide";"John S. Robertson";"Clara Beranger,Clara S. Beranger";;"1 hr. 36 min.";"7.8/10";"Unrated";"Drama,Horror,Classics,Science Fiction & Fantasy";"http://www.rottentomatoes.com/m/1006206-dr_jekyll_and_mr_hyde/";"Kindly Dr. Jekyll invents a drug which separates his good and evil natures, transforming him into the brutal, beast-like Mr. Hyde. One of two 1920 versions of the classic horror tale, this one features John Barrymore going from Jekyll to Hyde on the sheer strength of his acting (no makeup)."
"1006207-dr_jekyll_and_mr_hyde";"Dr. Jekyll and Mr. Hyde";"1930 1931 1932";"Dec 31, 1931 Limited";"Rouben Mamoulian";"Robert Louis Stevenson,Percy Heath,Samuel Hoffenstein";"Fredric March,Miriam Hopkins,Rose Hobart,Holmes Herbert,Edgar Norton,Halliwell Hobbes,Arnold Lucy,Colonel MacDonnell,G.L. McDonnell,Eric Wilton,Tempe Piggott,Douglas Walton,John Rogers,Murdock MacQuarrie,Major Sam Harris,Sam Harris";"1 hr. 36 min.";"8.3/10";"Unrated";"Drama,Horror";"http://www.rottentomatoes.com/m/1006207-dr_jekyll_and_mr_hyde/";"This first sound version of Robert Louis Stevenson's classic morality tale stars Fredric March as the kindly, philanthropic Dr. Jekyll. Fascinated with the notion that within each man lurk impulses for both Good and Evil, Jekyll develops a drug to release the wickedness in himself."
"animal_crackers";"Animal Crackers";"1929 1930 1931";"Aug 28, 1930 Limited";"Victor Heerman";"George S. Kaufman,Morrie Ryskind,Morris Ryskind";"Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,Louis Sorin,Lillian Roth,Margaret Dumont,Hal Thompson,Margaret Irving,Kathryn Reece,Robert Greig,Earl Metcalfe,Ann Roth,Donald MacBride,Marx Brothers,Edward Metcalf,The Music Masters";"1 hr. 38 min.";"7.9/10";"G";"Classics,Comedy";"http://www.rottentomatoes.com/m/animal_crackers/";"This movie is an all-but-literal translation to film of a smash-hit Marx Bros. Broadway musical. When the aristocratic Mrs. Rittenhouse holds a weekend party, her guest of honor is famed African explorer Geoffrey T. Spaulding. The plot involves a stolen painting, but the main attraction is the Marx brothers."
