"771306600";"Hostel";"2010 2011 2012";"Jan 21, 2011 Wide";"Manish Gupta";;;;;"Unrated";"Drama,Action & Adventure,Art House & International,Special Interest";"http://www.rottentomatoes.com/m/771306600/";"'Few Indians are aware of the number of suicides that occur in Indian Hostels as a result of the phenomenon termed as 'Ragging'.The film 'Hostel' is a shocking eye-opener about this evil practice and is a wake-up call for all of us.'"
"1124362-unconditional_love";"Unconditional Love";"2001 2002 2003";"Jan 1, 2002 Wide";"P.J. Hogan,Jocelyn Moorhouse";"Jocelyn Moorhouse,P.J. Hogan";"Kathy Bates,Rupert Everett,Dan Aykroyd,Jonathan Pryce,Julie Andrews,Barry Manilow,Sally Jessy Raphael,Lynn Redgrave,Meredith Eaton,Daniel Wyllie,Jack Noseworthy,Peter Sarsgaard,Stephanie Beacham,Richard Briers,Marcia Warren,Dan Wyllie,Mark Finney,Greg Pitts,Eyal Podell";"2 hr. 2 min.";"3.8/10";"PG-13 (adult situations)";"Drama,Musical & Performing Arts,Mystery & Suspense,Comedy";"http://www.rottentomatoes.com/m/1124362-unconditional_love/";"What's a middle-aged woman to do when her husband walks out on her and her favorite pop star is murdered by a serial killer? Writer/director P.J. Hogan explores this and many other pressing questions in Unconditional Love, a comic murder-mystery he devised with his wife and co-screenwriter, Jocelyn Moorhouse. Their heroine, Grace Beasly (Kathy Bates), finds her placid Midwestern life turned upside down after she loses both of the aforementioned men in her life: her husband (Dan Aykroyd) and the,Tom Jones-like, Welsh singing star Victor Fox (Jonathan Pryce), whom she unabashedly worships. After Fox's death, Grace impetuously flies to England for his funeral. Paying an uninvited visit to his countryside estate, she discovers Dirk Simpson (Rupert Everett), Fox's longtime, secret live-in lover, who's also in a state of shock following the senseless murder. Together, the two team up, traveling back to the Windy City to find the infamous 'Crossbow Killer' who took Fox's life. After receiving a fall 2002 release in the U.K., Unconditional Love had its U.S. premiere on the Starz network in August 2003. ~ Michael Hastings, Rovi"
"thomas_crown_affair";"The Thomas Crown Affair";"1967 1968 1969";"Sep 19, 1968 Wide";"Norman Jewison";"Alan Trustman,Alan R. Trustman";"Steve McQueen,Faye Dunaway,Paul Burke,Jack Weston,Biff McGuire,Addison Powell,Yaphet Kotto,Todd Martin,Sam Melville,Sidney Armus,Jon Shank,Allen Emerson,Harry Cooper,John Silver,Astrid Heeren,Carol Corbett,John Orchard,Gordon Pinsent,Patrick Horgan,Peg Shirley,Leonard Caron,Ted Gehring,Nora Marlowe,Judy Pace,Tom Rosqui,Michael Shillo,Carole Kelly,Nikita Knatz,Charles Lampkin,James Rawley,Paul Verdier,Victor Creatore,Paul Rhone,Richard Bull,Patty Regan,Johnny Silver,John Zaccaro";"1 hr. 42 min.";"6.6/10,6.2/10";"R (For some sexuality and language)";"Drama,Action & Adventure,Romance,Mystery & Suspense,Classics";"http://www.rottentomatoes.com/m/thomas_crown_affair/";"Thomas Crown (Steve McQueen) is a self-made Boston millionaire who masterminds a bank heist in hopes of leaving it all behind. Tired of being part of the Establishment, he has hopes of pulling off the caper and flying to Rio. Erwin Weaver (Jack Weston) leads the cast of crooks who never actually meet Crown but manage to pull off the robbery without a hitch. Crown deposits 3 million in a Swiss bank account, pays off the crooks, and waits for the insurance company to repay the bank for the loss.,Eddy Malone (Paul Burke) is the savvy detective who helps insurance investigator Vicky Anderson (Faye Dunaway) find the mastermind behind the heist. Thomas Crown Affair became one of the first films to employ many split-screen images throughout its running time, as devised by editor Hal Ashby. Michel Legrand's score was nominated for an Academy Award, and the song The Windmills Of Your Mind, written by Legrand with Alan and Marilyn Bergman took home the coveted Oscar."
"divorcee";"The Divorcée";"1929 1930 1931";"Apr 19, 1930 Wide";"Robert Z. Leonard";"Ursula Parrott,John Meehan,John Meehan, Jr.,John Meehan,Nick Grinde";;"1 hr. 23 min.";"6.4/10";"Unrated";"Drama,Romance,Classics";"http://www.rottentomatoes.com/m/divorcee/";"Norma Shearer earned an Academy Award for playing the not so gay divorcée in this pre-Code offering based, loosely, on Ex-Wife, a 1929 Ursula Parrott novel. Shearer is Jerry, a socialite who marries handsome Ted (Chester Morris) after a whirlwind courtship. But Ted is not exactly the faithful type and after three years of what she in her naïveté considered marital bliss, Jerry learns of his affair with Janice (Mary Doran). 'It meant nothing,' Ted assures her but Jerry is devastated and decides,to investigate adultery for herself by sleeping with Ted's best friend, Don (Robert Montgomery). When she discovers that the old double-standard still applies, Jerry announces that henceforth Ted, and only Ted, is no longer welcome in her bed. After a string of lovers who mean little or nothing to her, Jerry falls for an old flame, Paul (Conrad Nagel), but when she understands the effect their affair has on Paul's poor disfigured wife, Dorothy (Helen Johnson, aka Judith Wood), Jerry returns to Ted, who still loves her despite it all. ~ Hans J. Wollstein, Rovi"
"1014804-neighbors";"Neighbors";"1980 1981 1982";"Dec 18, 1981 Wide";"John G. Avildsen";"Larry Gelbart";"John Belushi,Dan Aykroyd,Cathy Moriarty,Kathryn Walker,Igors Gavon,Dru-Ann Chukron,Dru-Ann Chukran,Tim Kazurinsky,Tino Insana,P.J. Brown,Henry Judd Baker,Lauren-Marie Taylor,Dale Two Eagle,Sherman G. Lloyd,Bert Kittel,J.B. Friend,Bernie Friedman,Edward S. Kotkin,Michael Manoogian,Lauren Taylor";"1 hr. 35 min.";"5.8/10";"R";"Comedy";"http://www.rottentomatoes.com/m/1014804-neighbors/";"An uneven satire of life in the American suburbs, Neighbors chronicles the reaction of a conservative couple who find their normal lives ripped to shreds less than 24-hours after crazy new neighbors move in next door. This film contains the final appearance of comic actor John Belushi."
"guys_and_dolls";"Guys and Dolls";"1954 1955 1956";"Jan 1, 1955 Wide";"Joseph L. Mankiewicz,Frank L. Mankiewicz";"Joseph L. Mankiewicz,Frank L. Mankiewicz";"Marlon Brando,Frank Sinatra,Jean Simmons,Vivian Blaine,Robert Keith,Stubby Kaye,Regis Toomey,B.S. Pully,Johnny Silver,Sheldon Leonard,Kathryn Givney,Veda Ann Borg,Danny Dayton,George E. Stone,Mary Alan Hokanson,Joe McTurk,Kay E. Kuter,B. S. Pully,Stapleton Kent,Renee Renor,John Indrisano,Earl Hodgins,Earle Hodgins,Harry Tyler,The Goldwyn Girls,Matt Murphy,Julian Rivero,Larri Thomas,Jann Darlyn,June Kirby,Madelyn Darrow,Franklin Farnum,Barbara Brent,Harry Wilson,Lynn Bernay,Major Sam Harris,Franklyn Farnum,Frank Richards,Sam Harris";"2 hr. 30 min.";"7.7/10";"Unrated";"Drama,Musical & Performing Arts,Classics,Comedy";"http://www.rottentomatoes.com/m/guys_and_dolls/";"Incorrigible gamblers Sky Masterson and Nathan Detroit involve each other in a complicated plot to maintain 'The Oldest Established Permanent Floating Crap Game in New York.'"
"1077847-george_of_the_jungle";"George of the Jungle";"1996 1997 1998";"Jul 16, 1997 Wide";"Sam Weisman";"Audrey Wells,Dana Olsen";"Brendan Fraser,Leslie Mann,Thomas Haden Church,Richard Roundtree,John Cleese,Greg Cruttwell,Abraham Benrubi,Holland Taylor,Kelly Miller,John Bennett Perry,Keith Scott,Michael Chinyamurind...,Abdoulaye N'Gom,Lydell M. Cheshier,Spencer Garrett,Jon Maynard Pennell,Lauren Bowles,Afton Smith,Samantha Harris,Nameer El-Kadi,Hans Schoeber,Alexander Denk,Sven Ole Thorsen,Rodney Johnson,Peter F. Giddings,Terilyn Joe,Michel Camus,Valerie Perri,Willie Brown,Carrie Zanoline,Garrett Griffin,Harve Cook,Aristide Sumatra,Noah John Cardoza,Benjamin John Cardoz...,Joseph,Kaleb,Bongo,Tai,Stanley Tookie Willi...,Scooper,Hopper,Binx,Zachery,Emely Christians";"1 hr. 31 min.";"5.3/10,6.3/10";"PG (For some violence.)";"Action & Adventure,Kids & Family,Comedy";"http://www.rottentomatoes.com/m/1077847-george_of_the_jungle/";"A zany blend of slapstick and movie parody, this charming Disney adaptation of Jay Ward's witty, irreverent late-'60s cartoon series follows jungle-man George, his mentor Ape and loyal elephant Shep on a trip to San Francisco to be with his curvaceous new pal Ursula."
"ghosts_of_the_abyss";"Ghosts of the Abyss";"2002 2003 2004";"Apr 11, 2003 Limited";"James Cameron";"James Cameron";"Bill Paxton,Lori Johnson,Federico Zambrano,Dr. Charles Pellegri...,Dale Ridge,Ken Marschall,Judy Prestininzi,James Cameron,Adriana Valdez,Mike Cameron,Justin Shaw,Jeffrey N. Ledda,Thomas Kilroy,Genya Cherniaev,Charlie Arneson,Victor Nischeta,Piper Gunnarson,Dr. Anatoly Sagalevi...,John Donovan,John Bruno,Janace Tashjian,Don Lynch,Corey Jakolski,Jesse Baker,Jason Paul,Justin Baker,Miguel Wilkins,Dr. John Broadwater,Dr. Lori Johnston,Tava Smiley,Lewis Abernathy,Eric Schmitz,Ed Harris,Mary Elizabeth Mastr...,Michael Biehn,Leo Burmeister,Todd Graff,John Bedford Lloyd,Kimberly Scott,J.C. Quinn,Capt. Kidd Brewer Jr...,George Robert Klek,Chris Murphy,Adam Nelson,Richard Warlock,Jimmie Ray Weeks,J. Kenneth Campbell,Ken Jenkins,Michael Beach,Chris Elliott,Peter Ratray,Brad Sullivan,Frank Lloyd,Joseph C. Nemec III,William Wisher,Phillip Darlington,Joe Farago";;"7.1/10,7/10";"G (for thematic elements)";"Documentary,Science Fiction & Fantasy,Comedy,Special Interest";"http://www.rottentomatoes.com/m/ghosts_of_the_abyss/";"Director James Cameron journeys back to the site of his greatest inspiration--the legendary wreck of the Titanic. With a team of the world's foremost historic and marine experts and friend Bill Paxton, he embarks on an unscripted adventure back to the final grave where nearly 1,500 souls lost their lives almost a century ago. Using state-of-the-art technology developed expressly for this expedition, Cameron and his crew are able to explore all of the wreckage, inside and out, as never before."
"meet-the-cast-of-shrek-2";"Meet the Cast of Shrek 2";"2003 2004 2005";"Nov 5, 2004 Wide";"Vince Oken";;;;;"Unrated";"Documentary";"http://www.rottentomatoes.com/m/meet-the-cast-of-shrek-2/";""
"5_to_7";"5 to 7";"2014 2015 2016";"Apr 3, 2015 Limited";"Victor Levin";"Victor Levin";"Anton Yelchin,Bérénice Marlohe,Olivia Thirlby,Glenn Close,Eric Stoltz,Frank Langella";;"5.7/10,5.8/10";"R (for some sexual material)";"Comedy,Romance";"http://www.rottentomatoes.com/m/5_to_7/";"A chance encounter on the streets of Manhattan draws 20-something aspiring writer Brian (Anton Yelchin) into a passionate love affair with a glamorous French woman (Skyfall Bond girl Bérénice Marlohe). The catch? She's married, and can only meet him for hotel room trysts between the hours of 5 and 7. As Brian yearns for more than just two hours a day with the woman of his dreams, he learns hard won lessons about life and love. Co-starring Frank Langella, Glenn Close, and Olivia Thirlby, this,sexy romance captures the giddy thrill, the pain and the comedy of being young and falling in love. (C) IFC Films"
