"Id";"Name";"YearRange";"ReleaseDate";"Director";"Creator";"Cast";"Duration";"RatingValue";"ContentRating";"Genre";"Url";"Description"
"adventures-of-a-taxi-driver";"Adventures of a Taxi Driver";"1975 1976 1977";"May 1, 1976 Wide";"Stanley A. Long";;;;;"R";"Drama,Action & Adventure,Art House & International,Comedy";"http://www.rottentomatoes.com/m/adventures-of-a-taxi-driver/";"A sexy comedy about the carnal exploits of a cab driver who gets mixed up with gang of jewel thieves. ~ Rovi"
"steve_mcqueen_the_man_and_le_mans";"Steve McQueen: The Man & Le Mans";"2014 2015 2016";"Nov 13, 2015 Limited";"Gabriel Clarke,John McKenna,Jon McKenna";"Gabriel Clarke";;;"";"Unrated";"Documentary,Television,Sports & Fitness";"http://www.rottentomatoes.com/m/steve_mcqueen_the_man_and_le_mans/";"The turbulent production of the Steve McQueen car-racing classic Le Mans serves as the subject of this documentary from filmmakers Gabriel Clarke and Jon McKenna. At the time Le Mans went into production McQueen was one of cinema's biggest stars. Given his choice of film projects thanks to a lucrative deal with Cinema Center Studios, McQueen quickly began work on the passion project he had been dreaming about for the past decade. But as production on Le Mans got underway, the driven star would,be forced to contend not only with the sudden departure of the film's original director, John Sturgis, but his own failing marriage, the threat of bankruptcy, and the fear of learning that he had been targeted for death by one of the most notorious serial killers of the 20th Century as well."
"constantine";"Constantine";"2004 2005 2006";"Feb 18, 2005 Wide";"Francis Lawrence (II),Francis Lawrence";"Frank A. Cappello,Kevin Brodbin,Frank Cappello";"Keanu Reeves,Rachel Weisz,Shia LaBeouf,Djimon Hounsou,Max Baker,Pruitt Taylor Vince,Gavin Rossdale,Tilda Swinton,Peter Stormare,Jesse Ramirez,Jose Zuniga,Francis Guinan,Larry Cedar,April Grace,Michelle Monaghan,Suzanne Whang,Johanna Trias,Jhoanna Trias,Alice Lo,Nicolas Downs,Nicholas Downs,Tanoai Reed,Quinn Buniel,Ann Ryerson,Stephanie Fabian,Laz Alonso,Connor Dylan Wryn,Jeremy Ray Valdez,Jose Molina,Barbara Pilavin,C.W. Pyun,Sharon Omi,Edward J. Rosen,John Gipson,Roberto Kawata,Brian Tyler";;"5.5/10,4.7/10";"R (for violence and demonic images)";"Action & Adventure,Horror,Mystery & Suspense,Science Fiction & Fantasy";"http://www.rottentomatoes.com/m/constantine/";"An ordinary man with an extraordinary gift must save the planet from evil in this action-packed fantasy. Unknown to most people, the world is crowded with spirits both good and evil who walk among us in human guise. One of the few who can see these spirits is John Constantine (Keanu Reeves), but the responsibility of his vision is more than he can stand, and he tries to kill himself. Saved from death, Constantine must now atone for his actions by acting as a guardian in the middle ground between,Paradise and Hell. Constantine also makes the acquaintance of Angela Dodson (Rachel Weisz), a police detective who becomes aware of his unusual gift while looking into the death of her sister$% he leads her into the unknown world of the spirits and soon circumstances demand that they join forces in a desperate bid to save humanity from evil. Constantine also features Tilda Swinton, Peter Stormare, and Gavin Rossdale, the latter best known as the lead singer of the rock group Bush. Michelle Monaghan (Made of Honor) was originally in the film (cast as a half-breed demon) but director Francis Lawrence cut her scenes. ~ Mark Deming, Rovi"
"red_2";"Red 2";"2012 2013 2014";"Jul 19, 2013 Wide";"Dean Parisot";"Jon Hoeber,Erich Hoeber";"Bruce Willis,John Malkovich,Mary-Louise Parker,Helen Mirren,Anthony Hopkins,Byung-hun Lee,Catherine Zeta-Jones,Neal McDonough,Brian Cox,Jong Kun Lee,David Thewlis,Garick Hagon,Tim Pigott-Smith,Philip Arditti,Mitchell Mullen,Martin Sims,Tristan D. Lalla,Khalid Laith,Tom Wu,Emilio Doorgasingh,David Papava,Dan Jeannotte,Aleksandar Mikic,Emanuel Hoss-Desmara...,Nathalie Buscombe,Tony Pritchard,Kirris Rivierre,Wahab Sheikh,Steven Berkoff,Paul Hopkins,Vlasta Vrana,Rob David,Adam Shaw,Tom Hodgkins,Emma Heming Wills,Moe Jeudy-Lamour,Penny Bunton,Nathan Wiley,Eric Davis,Andrew Byron,Alex Gorchev,Michael Patrick Hear...,Sandra Lavoie,Bentley Kalu,Rebecca Croll,Georg Nikoloff,Bianca Bellange,Kevin Woodhouse,Terry Maguire,Xavier Laurent,Sherif Eltayeb,Alan Grice,Thomas Thoroe,Yo Santhaveesuk,George Georgiou,Waj Ali,Tony Smith,Michael Hearn,Alan Silvestri";;"5.4/10,5.2/10";"PG-13 (for pervasive action and violence including frenetic gunplay, and for some language and drug material)";"Drama,Action & Adventure";"http://www.rottentomatoes.com/m/red_2/";"In RED 2, the high-octane action-comedy sequel to the worldwide sleeper hit, retired black-ops CIA agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device. To succeed, they'll need to survive an army of relentless assassins, ruthless terrorists and power-crazed government officials, all eager to get their hands on the next-generation weapon. The mission takes Frank and his motley crew to Paris, London and Moscow.,Outgunned and outmanned, they have only their cunning wits, their old-school skills, and each other to rely on as they try to save the world-and stay alive in the process. (c) Summit"
"entre_les_bras";"Step Up To The Plate";"2011 2012 2013";"Sep 14, 2012 Limited";"Paul Lacoste";"Paul Lacoste";"Sébastien Bras,,Michel Bras,Veronique Bras,Ginette Bras";"1 hr. 26 min.";"6.1/10,6.5/10";"Unrated";"Documentary,Special Interest";"http://www.rottentomatoes.com/m/entre_les_bras/";"French chef Michel Bras, one of the most influential chefs in the world, has decided to hand over his renowned 3-Michelin-Star restaurant to his son Sébastien. Having worked with his father for 15 years, Sébastien is ready. But it's not easy to take over the family business when your father is a master in his field. Filmed in the gorgeous Aubrac region in the South of France, home to the Bras family for generations, Step Up to the Plate offers a rare glimpse into the Bras' culinary process while,capturing one of the most closely watched transitions in the world of haute cuisine. -- (C) Cinema Guild"
"sudden_impact";"Sudden Impact";"1982 1983 1984";"Jan 1, 1983 Wide";"Clint Eastwood";"Joseph C. Stinson";"Clint Eastwood,Sondra Locke,Pat Hingle,Bradford Dillman,Paul Drake,Audrie J. Neenan,Jack Thibeau,Michael Currie,Albert Popwell,Mark Keyloun,Nancy Parsons,Kevin Howard,Kevyn Major Howard,Bette Ford,Lisa Batt,Joe Bellan,Wendell Wellman,Marion Dougherty,Mara Corday,Russ McCubbin,Robert Sutton,Nancy Fish,Carmen Argenziano,Lisa Britt,Bill Reddick,Lois De Banzie,Matthew Child,Mike Johnson,Nick Dimitri,Michael Maurer,Pat DuVal,Christian Phillips,Steve Kravitz,Lloyd Nelson,Christopher Pray,James McEachin,Ana María Lynch,Ken Lee,Morgan Upton,John X. Heart,Michael Vincente Gaz...,Harry Demopoulos,Lisa London,Tom Spratley,Eileen Wiggins,John Nowak,Dennis Royston,Melvin Thompson,Jophery C. Brown,Bill Upton,David Gonzales,Albert Martínez,David Rivers,Robert Rivers,Michael Johnson,Carmen Agenziano";"1 hr. 57 min.";"5.6/10,5.8/10";"R (adult situations/language, nudity, violence)";"Mystery & Suspense,Action & Adventure";"http://www.rottentomatoes.com/m/sudden_impact/";"A hard-edged cop is assigned to track down a female killer who proves to be a vigilante seeking revenge on the thugs who subjected her to a brutal gang rape. This crime drama is the fourth and perhaps most famous of the films featuring the character of 'Dirty Harry' Callahan."
"1077847-george_of_the_jungle";"George of the Jungle";"1996 1997 1998";"Jul 16, 1997 Wide";"Sam Weisman";"Audrey Wells,Dana Olsen";"Brendan Fraser,Leslie Mann,Thomas Haden Church,Richard Roundtree,John Cleese,Greg Cruttwell,Abraham Benrubi,Holland Taylor,Kelly Miller,John Bennett Perry,Keith Scott,Michael Chinyamurind...,Abdoulaye N'Gom,Lydell M. Cheshier,Spencer Garrett,Jon Maynard Pennell,Lauren Bowles,Afton Smith,Samantha Harris,Nameer El-Kadi,Hans Schoeber,Alexander Denk,Sven Ole Thorsen,Rodney Johnson,Peter F. Giddings,Terilyn Joe,Michel Camus,Valerie Perri,Willie Brown,Carrie Zanoline,Garrett Griffin,Harve Cook,Aristide Sumatra,Noah John Cardoza,Benjamin John Cardoz...,Joseph,Kaleb,Bongo,Tai,Stanley Tookie Willi...,Scooper,Hopper,Binx,Zachery,Emely Christians";"1 hr. 31 min.";"5.3/10,6.3/10";"PG (For some violence.)";"Action & Adventure,Kids & Family,Comedy";"http://www.rottentomatoes.com/m/1077847-george_of_the_jungle/";"A zany blend of slapstick and movie parody, this charming Disney adaptation of Jay Ward's witty, irreverent late-'60s cartoon series follows jungle-man George, his mentor Ape and loyal elephant Shep on a trip to San Francisco to be with his curvaceous new pal Ursula."
"welcome_to_me";"Welcome to Me";"2014 2015 2016";"May 1, 2015 Limited";"Shira Piven";"Eliot Laurence";"Kristen Wiig,Tim Robbins,Linda Cardellini,Jennifer Jason Leigh,James Marsden,Wes Bentley,Joan Cusack,Alan Tudyk,Loretta Devine,Thomas Mann";;"6.5/10,6.6/10";"R (for sexual content, some graphic nudity, language and brief drug use)";"Drama,Comedy";"http://www.rottentomatoes.com/m/welcome_to_me/";"What happens when a young woman with Borderline Personality Disorder wins the lottery? In the case of Alice Klieg (Kristen Wiig), she quits her psychiatric meds and buys her own talk show. Inspired by the immortal Oprah, she broadcasts her dirty laundry as both a form of exhibitionism and a platform to share her peculiar views on everything from nutrition to relationships to neutering pets. Also starring Wes Bentley, James Marsden, Tim Robbins, Joan Cusack, Jennifer Jason Leigh and Linda,Cardellini. (C) Alchemy"
"loin";"Far Away (Loin)";"2000 2001 2002";"Sep 7, 2001 Wide";"Andre Techine";"Michel Alexandre,Andre Techine,Faouzi Bensaïdi";;;"";"Unrated";"Art House & International,Drama";"http://www.rottentomatoes.com/m/loin/";"Veteran filmmaker Andre Techine takes DV camera in hand and directs this gritty romantic drama about a Moroccan truck driver and the girl he loves. Serge hauls goods -- both legal and illegal -- from North Africa to Spain. Spent mostly on the road, on ferries, or in customs offices, his life is highly structured, having to hand the right forms and bribes to customs officials and deliver goods to the proper locations. His personal life is less ordered. He is fatally attracted to Sarah, a,beautiful Moroccan Jew who is dealing with the recent death of her mother and the arrival of her brother who wants her to return to Canada with him. Desperate to see her once again, Serge strikes a deal with a young lad named Said. If Said arranges a meeting between him and Sarah, then Serge will smuggle Said across the border into Europe. This film was screened at the 2001 Toronto Film Festival. ~ Jonathan Crow, Rovi"
"rent_a_kid";"Rent-a-Kid";"1994 1995 1996";"Nov 4, 1995 Wide";"Fred Gerber";"Paul Bernbaum";;"1 hr. 25 min.";;"G";"Comedy,Kids & Family";"http://www.rottentomatoes.com/m/rent_a_kid/";"In this light-hearted comedy, an ingenious salesman devises a clever scheme for finding homes for orphans. A pair of yuppies, trying to decide whether or not to become parents, use the plan to test out three rambunctious children in their home."
