"tt0058329";"Marnie";"1964";"22 July 1964 (USA)";"Alfred Hitchcock";"Winston Graham,Jay Presson Allen";"Tippi Hedren,Sean Connery,Martin Gabel";"Tippi Hedren,Sean Connery,Martin Gabel,Louise Latham,Diane Baker,Alan Napier,Bob Sweeney,Milton Selzer,Henry Beckman,Edith Evanson,Mariette Hartley,Bruce Dern,S. John Launer,Meg Wyllie";"English";"USA";"130 min";"7.2";"31,699";"195 user,80 critic";"Drama,Thriller";"San Jose, California, USA";"Mark marries Marnie although she is a habitual thief and has serious psychological problems, and tries to help her confront and resolve them."
"tt0137201";"Rudolph the Red-Nosed Reindeer: The Movie";"1998";"16 October 1998 (USA)";"William R. Kowalchuk Jr.";"Robert May,Michael Aschner";"John Goodman,Bob Newhart,Debbie Reynolds";"Eric Pospisil,Kathleen Barr,John Goodman,Whoopi Goldberg,Debbie Reynolds,Bob Newhart,Eric Idle,Richard Simmons,Alec Willows,Lee Tockar,Garry Chalk,Christopher Gray,Vanessa Morley,Myriam Sirois,Elizabeth Carol Savenkoff";"English";"USA,Canada";"83 min";"5.7";"1,435";"21 user,7 critic";"Animation,Adventure,Family";;"When Rudolph is born with a red nose he is bullied through out his younger years, but when Stormella closes her bridge of to the public and threaten to put Santa out of business for good ..."
"tt2545428";"Meru";"2015";"14 August 2015 (USA)";"Jimmy Chin,Elizabeth Chai Vasarhelyi";;"Conrad Anker,Grace Chin,Jimmy Chin";"Conrad Anker,Grace Chin,Jimmy Chin,Amee Hinkley,Jon Krakauer,Jennifer Lowe-Anker,Renan Ozturk";"English";"India,USA";"87 min";"8.2";"532";"9 user,23 critic";"Documentary,Action,Adventure";"India";"Three elite climbers struggle to find their way through obsession and loss as they attempt to climb Mount Meru, one of the most coveted prizes in the high stakes game of Himalayan big wall climbing."
"tt4053698";"Assassin's Creed: A Pirate's Life";"2013";"12 October 2013 (USA)";"Justin Lee";"Justin Lee";"Andrew Garrettson";"Andrew Garrettson";"English";"USA";;"4.7";"7";;"Short,Action";"Portland, Oregon, USA";"The infamous pirate and assassin, Edward Kenway, is hunted by the British Navy. Seeking the help of another pirate, the notorious Edward 'Blackbeard' Teach, the British soon discover they ..."
"tt2042449";"Anything Is Possible";"2013";"24 September 2013 (USA)";"Demetrius Navarro";"Carlos R. Bermúdez,Demetrius Navarro";"Ethan Bortnick,Jonathan Bennett,Lacey Chabert";"Ethan Bortnick,Jonathan Bennett,Lacey Chabert,Fatima Ptacek,David Haines,Erlinda Navarro,Kym Whitley,Elizabeth Atkins,Shelby Moffett,Carlo Lorenzo Garcia,Daniel Behrendt,Nathan Bortnick,Alexander T. Bowman,Frankie Darcel,Shariay Gant";"English";"USA";"93 min";"5.6";"190";"3 user,1 critic";"Family";"Detroit, Michigan, USA";"Ethan Bortnick plays the leading role as Nathan,a young boy who's separated from his mother when she goes missing during a trip to Japan to help after the tsunami. The movie explores issues..."
"tt1698648";"Girl Most Likely";"2012";"18 July 2013 (Netherlands)";"Shari Springer Berman,Robert Pulcini";"Michelle Morgan";"Kristen Wiig,Annette Bening,Matt Dillon";"Kristen Wiig,Annette Bening,Matt Dillon,Darren Criss,Christopher Fitzgerald,June Diane Raphael,Natasha Lyonne,Bob Balaban,Sydney Lucas,Jimmy Palumbo,Michelle Morgan,Mickey Sumner,Elizabeth Inghram,Brian Petsos,Murray Bartlett";"English,Romanian";"USA";"103 min";"5.8";"11,411";"47 user,79 critic";"Comedy";"Ocean City, New Jersey, USA";"A failed New York playwright awkwardly navigates the transition from Next Big Thing to Last Year's News."
"tt0116282";"Fargo";"1996";"5 April 1996 (USA)";"Joel Coen,Ethan Coen";"Ethan Coen,Joel Coen";"William H. Macy,Frances McDormand,Steve Buscemi";"William H. Macy,Steve Buscemi,Peter Stormare,Kristin Rudrüd,Harve Presnell,Tony Denman,Gary Houston,Sally Wingert,Kurt Schweickhardt,Larissa Kokernot,Melissa Peterman,Steve Reevis,Warren Keith,Steve Edelman,Sharon Anderson";"English";"USA,UK";"98 min";"8.2";"406,526";"798 user,186 critic";"Crime,Drama,Thriller";"Chanhassen Dinner Theatre, Chanhassen, Minnesota, USA";"Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson."
"tt0065537";"Change of Habit";"1969";"21 January 1970 (USA)";"William A. Graham";"James Lee,S.S. Schweitzer";"Elvis Presley,Mary Tyler Moore,Barbara McNair";"Elvis Presley,Mary Tyler Moore,Barbara McNair,Jane Elliot,Leora Dana,Edward Asner,Robert Emhardt,Regis Toomey,Doro Merande,Ruth McDevitt,Richard Carlson,Nefti Millet,Laura Figueroa,Lorena Kirk,Virginia Vincent";"English";"USA";"93 min";"5.8";"1,517";"52 user,14 critic";"Crime,Drama,Music";"Universal Studios - 100 Universal City Plaza, Universal City, California, USA";"An incognito nun tries to help a doctor clean up an inner city ghetto, with the pair growing closer as time goes on."
"tt0980970";"The Chronicles of Narnia: The Voyage of the Dawn Treader";"2010";"10 December 2010 (USA)";"Michael Apted";"Christopher Markus,Stephen McFeely";"Ben Barnes,Skandar Keynes,Georgie Henley";"Georgie Henley,Skandar Keynes,Ben Barnes,Will Poulter,Gary Sweet,Terry Norris,Bruce Spence,Bille Brown,Laura Brent,Colin Moody,Tilda Swinton,Anna Popplewell,William Moseley,Shane Rangi,Arthur Angel";"English";"USA";"113 min";"6.3";"96,672";"221 user,225 critic";"Adventure,Family,Fantasy";"Cleveland, Queensland, Australia";"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world."
"tt0103077";"There's Nothing Out There";"1991";"April 1991 (USA)";"Rolfe Kanefsky";"Rolfe Kanefsky";"Craig Peck,Wendy Bednarz,Mark Collver";"Craig Peck,Wendy Bednarz,Mark Collver,Bonnie Bowers,John Carhart III,Claudia Flores,Jeff Dachis,Lisa Grant,Sissy Frye,Cyrus Voris,Ronald St. Denis,Michael Berlly,Rafi Isaac,Tommy Barz,Mark Calderone";"English";"USA";"91 min";"6.1";"669";"21 user,38 critic";"Comedy,Horror,Sci-Fi";"Piermont, New York, USA";"Seven teens head up to a cabin on the lake for spring break. Mike has studied all horror films on video, and recognizes the signs of foreshadowing of doom. The others dismiss his concerns ..."
