"Id";"Name";"Year";"Release Date";"Director";"Creator";"Actors";"Cast";"Language";"Country";"Duration";"RatingValue";"RatingCount";"ReviewCount";"Genre";"Filming Locations";"Description"
"tt0104779";"Bitter Moon";"1992";"18 March 1994 (USA)";"Roman Polanski";"Pascal Bruckner,Roman Polanski";"Hugh Grant,Kristin Scott Thomas,Emmanuelle Seigner";"Peter Coyote,Emmanuelle Seigner,Hugh Grant,Kristin Scott Thomas,Victor Banerjee,Sophie Patel,Patrick Albenque,Smilja Mihailovitch,Leo Eckmann,Luca Vellani,Richard Dieux,Danny Wuyts,Daniel Dhubert,Nathalie Galán,Eric Gonzales";"English,French";"France,UK,USA";"139 min";"7.1";"24,068";"103 user,58 critic";"Drama,Romance,Thriller";"Paris Studios Cinéma, Billancourt, Hauts-de-Seine, France";"British couple Fiona and Nigel Dobson are sailing to Istanbul en route to India. They encounter a beautiful French woman, and that night Nigel meets her while dancing alone in the ship's ..."
"tt0086154";"Psycho II";"1983";"3 June 1983 (USA)";"Richard Franklin";"Tom Holland,Robert Bloch";"Anthony Perkins,Vera Miles,Meg Tilly";"Anthony Perkins,Vera Miles,Meg Tilly,Robert Loggia,Dennis Franz,Hugh Gillin,Claudia Bryar,Robert Alan Browne,Ben Hartigan,Lee Garlington,Tim Maier,Jill Carroll,Chris Hendrie,Tom Holland,Michael Lomazow";"English";"USA";"113 min";"6.4";"15,903";"183 user,85 critic";"Horror,Mystery,Thriller";"Bakersfield Courthouse, Bakersfield, California, USA";"After twenty-two years of psychiatric care, Norman Bates attempts to return to a life of solitude... but the specters of his crimes -- and his mother -- continue to haunt him."
"tt0365830";"Tenacious D in The Pick of Destiny";"2006";"22 November 2006 (USA)";"Liam Lynch";"Jack Black,Kyle Gass";"Jack Black,Kyle Gass,JR Reed";"Jack Black,Kyle Gass,JR Reed,Ronnie James Dio,Paul F. Tompkins,Troy Gentile,Ned Bellamy,Fred Armisen,Kirk Ward,Amy Poehler,Tim Robbins,Dave Grohl,Ben Stiller,Lara Everly,Brittany Eldridge";"English";"USA,Germany";"93 min";"6.8";"80,349";"195 user,122 critic";"Adventure,Comedy,Music";"Halfway House Café - 15564 Sierra Highway, Santa Clarita, California, USA";"In Venice Beach, naive Midwesterner JB bonds with local slacker KG and they form the rock band Tenacious D. Setting out to become the world's greatest band is no easy feat, so they set out to steal what could be the answer to their prayers -- a magical guitar pick housed in a rock-and-roll museum some 300 miles away."
"tt0046250";"Roman Holiday";"1953";"2 September 1953 (USA)";"William Wyler";"Ian McLellan Hunter,John Dighton";"Gregory Peck,Audrey Hepburn,Eddie Albert";"Gregory Peck,Audrey Hepburn,Eddie Albert,Hartley Power,Harcourt Williams,Margaret Rawlings,Tullio Carminati,Paolo Carlini,Claudio Ermelli,Paola Borboni,Alfredo Rizzo,Laura Solari,Gorella Gori";"English,Italian,German";"USA";"118 min";"8.1";"89,622";"212 user,101 critic";"Comedy,Romance";"Viale del Policlinico, Rome, Lazio, Italy";"A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome."
"tt1718158";"Generation Um...";"2012";"28 May 2013 (USA)";"Mark Mann";"Mark Mann";"Keanu Reeves,Bojana Novakovic,Adelaide Clemens";"Keanu Reeves,Adelaide Clemens,Daniel Sunjata,Bojana Novakovic,Sarita Choudhury,Jake Hoffman,Ashley Austin Morris,Courtney Cooper,Karen Olivo,Landon Beard,Jonny Orsini,Ivan Martin,Michael Nathanson,Gurdeep Singh,Stephanie DiMaggio";"English";"USA";"97 min";"4.0";"2,790";"56 user,20 critic";"Drama";"Lower East Side, Manhattan, New York City, New York, USA";"Three adults during a single day in New York City, one filled with sex, drugs, and indecision."
"tt0065112";"Topaz";"1969";"19 December 1969 (USA)";"Alfred Hitchcock";"Leon Uris,Samuel A. Taylor";"Frederick Stafford,Dany Robin,John Vernon";"Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph";"English,Spanish,French,Russian";"USA";"143 min";"6.3";"11,928";"86 user,46 critic";"Thriller";"Place Gaillon, Paris 2, Paris, France";"A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
"tt0080752";"Forbidden Zone";"1980";"21 March 1980 (USA)";"Richard Elfman";"Richard Elfman,Richard Elfman";"Hervé Villechaize,Susan Tyrrell,Gisele Lindley";"Hervé Villechaize,Susan Tyrrell,Gisele Lindley,Jan Stuart Schwartz,Marie-Pascale Elfman,Virginia Rose,Gene Cunningham,Phil Gordon,Hyman Diamond,Matthew Bright,Danny Elfman,Viva,Joe Spinell,Brian Routh,Martin von Haselberg";"English,French";"USA";"74 min";"6.9";"3,388";"88 user,62 critic";"Comedy,Fantasy,Musical";;"The bizarre and musical tale of a girl who travels to another dimension through the gateway found in her family's basement."
"tt0903624";"The Hobbit: An Unexpected Journey";"2012";"14 December 2012 (USA)";"Peter Jackson";"Fran Walsh,Philippa Boyens";"Martin Freeman,Ian McKellen,Richard Armitage";"Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,Graham McTavish,William Kircher,James Nesbitt,Stephen Hunter,Dean O'Gorman,Aidan Turner,John Callen,Peter Hambleton,Jed Brophy,Mark Hadlow,Adam Brown";"English";"USA,New Zealand";"169 min";"8.0";"586,896";"1,366 user,639 critic";"Adventure,Fantasy";"Rock and Pillar Range, Otago, New Zealand";"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug."
"tt0052902";"The Horse Soldiers";"1959";"12 June 1959 (USA)";"John Ford";"John Lee Mahin,Martin Rackin";"John Wayne,William Holden,Constance Towers";"John Wayne,William Holden,Constance Towers,Judson Pratt,Hoot Gibson,Ken Curtis,Willis Bouchey,Bing Russell,O.Z. Whitehead,Hank Worden,Chuck Hayward,Denver Pyle,Strother Martin,Basil Ruysdael,Carleton Young";"English";"USA";"115 min";"7.2";"6,335";"61 user,26 critic";"Adventure,War,Western";"Alexandria, Louisiana, USA";"A Union Cavalry outfit is sent behind confederate lines in strength to destroy a rail/supply center. Along with them is sent a doctor who causes instant antipathy between him and the ..."
"tt0282687";"Life or Something Like It";"2002";"26 April 2002 (USA)";"Stephen Herek";"John Scott Shepherd,John Scott Shepherd";"Angelina Jolie,Edward Burns,Tony Shalhoub";"Angelina Jolie,Edward Burns,Tony Shalhoub,Christian Kane,James Gammon,Melissa Errico,Stockard Channing,Lisa Thornhill,Gregory Itzin,Max Baker,Andromeda Dunker,Jesse James Rutherford,Veena Sood,Eric Snellman,Theron Zahn";"English";"USA";"103 min";"5.8";"18,426";"127 user,85 critic";"Comedy,Romance";"USA";"A reporter interviews a psychic, who tells her that she's going to die and her life is meaningless."
