Id;Name;Year;Release Date;Director;Creator;Actors;Cast;Language;Country;Duration;RatingValue;RatingCount;ReviewCount;Genre;Filming Locations;Description
tt0054215;Psycho;1960;8 September 1960 (USA);Alfred Hitchcock;Joseph Stefano,Robert Bloch;Anthony Perkins,Janet Leigh,Vera Miles;Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills;English;USA;109 min;8.6;379,998;976 user,290 critic;Horror,Mystery,Thriller;Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA;A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.
tt0088993;Day of the Dead;1985;19 July 1985 (USA);George A. Romero;George A. Romero;Lori Cardille,Terry Alexander,Joseph Pilato;Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,Anthony Dileo Jr.,Richard Liberty,Sherman Howard,Gary Howard Klar,Ralph Marrero,John Amplas,Phillip G. Kellams,Taso N. Stavrakis,Greg Nicotero,Don Brockett,William Cameron;English;USA;96 min;7.2;46,421;414 user,177 critic;Action,Drama,Horror;Sanibel Island, Florida, USA;A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
tt0032484;Foreign Correspondent;1940;16 August 1940 (USA);Alfred Hitchcock;Charles Bennett,Joan Harrison;Joel McCrea,Laraine Day,Herbert Marshall;Joel McCrea,Laraine Day,Herbert Marshall,George Sanders,Albert Bassermann,Robert Benchley,Edmund Gwenn,Eduardo Ciannelli,Harry Davenport,Martin Kosleck,Frances Carson,Ian Wolfe,Charles Wagenheim,Eddie Conrad,Charles Halton;English,Dutch,Latvian;USA;120 min;7.6;12,684;124 user,73 critic;Romance,Thriller,War;Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands;On the eve of WWII, a young American reporter tries to expose enemy agents in London.
tt0889671;Trumbo;2007;27 June 2008 (USA);Peter Askin;Christopher Trumbo,Christopher Trumbo;Dalton Trumbo,Joan Allen,Brian Dennehy;Dalton Trumbo,Joan Allen,Brian Dennehy,Michael Douglas,Paul Giamatti,Nathan Lane,Josh Lucas,Liam Neeson,David Strathairn,Donald Sutherland,Emanuel Azenberg,Walter Bernstein,Larry Ceplair,Kirk Douglas,Peter Hanson;English;USA;96 min;7.5;724;14 user,33 critic;Documentary,Biography;;Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ...
tt1325014;The People vs. George Lucas;2010;29 August 2011 (USA);Alexandre O. Philippe;Alexandre O. Philippe;Joe Nussbaum,Daryl Frazetti,Doug Jones;Joe Nussbaum,Daryl Frazetti,Doug Jones,Damian Hess,Richie Mehta,Brian Comerford,Dale Pollock,Glenn Kenny,Anthony Waye,Richard Sandling,Derek Ambrosi,Edward Hines Jr.,Joseph A. Covas,Adam W. James,Todd Hanson;English,French;USA,UK;93 min;6.7;3,341;27 user,49 critic;Documentary,Comedy;Geneva, Canton de Genève, Switzerland;An examination of the widespread fan disenchantment with George Lucas.
tt0065112;Topaz;1969;19 December 1969 (USA);Alfred Hitchcock;Leon Uris,Samuel A. Taylor;Frederick Stafford,Dany Robin,John Vernon;Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph;English,Spanish,French,Russian;USA;143 min;6.3;11,928;86 user,46 critic;Thriller;Place Gaillon, Paris 2, Paris, France;A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring.
tt0074512;Family Plot;1976;9 April 1976 (USA);Alfred Hitchcock;Ernest Lehman,Victor Canning;Karen Black,Bruce Dern,Barbara Harris;Karen Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood;English;USA;120 min;6.8;14,283;107 user,64 critic;Comedy,Thriller;4254 Lexington Avenue, Los Angeles, California, USA;Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
tt0092796;Creepshow 2;1987;1 May 1987 (USA);Michael Gornick;Stephen King,George A. Romero;George Kennedy,Lois Chiles,Domenick John;Domenick John,Tom Savini,George Kennedy,Philip Dore,Maltby Napoleon,Tyrone Tonto,Dorothy Lamour,Frank Salsedo,Holt McCallany,David Holbrook,Don Harvey,Dan Kamin,Dean Smith,Shirley Sonderegger,Paul Satterfield;English;USA;92 min;5.9;14,700;117 user,92 critic;Comedy,Horror,Thriller;12890 E Main St, Humboldt, Arizona, USA;Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die.
tt0090021;Silver Bullet;1985;11 October 1985 (USA);Daniel Attias;Stephen King,Stephen King;Gary Busey,Everett McGill,Corey Haim;Gary Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman;English;USA,Netherlands;95 min;6.3;15,051;121 user,75 critic;Drama,Horror;Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA;A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story.
tt0102733;Pyrates;1991;5 March 1992 (Germany);Noah Stern;Noah Stern;Kevin Bacon,Kyra Sedgwick,Bruce Payne;Kevin Bacon,Kyra Sedgwick,Bruce Payne,Kristin Dattilo,Buckley Norris,Deborah Falconer,David Pressman,Raymond O'Connor,Byrne Piven,Ernie Lee Banks,Mickey Jones,Bo Sharon,Daniel Ben Wilson,Jeff Silverman,William John Murphy;English;USA;;4.8;517;4 user,1 critic;Comedy,Romance;;Ari (Kevin Bacon) and Sam (Kyra Sedgwick), have incendiary sex a lot and burn down apartment blocks, wig-wams, etc...
